"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"1536","GO:0060020","Bergmann glial cell differentiation",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1537","GO:0000186","activation of MAPKK activity",0,"0% {0/114}","0.59% {6/1010}",0.559,1
"1538","GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1539","GO:0051098","regulation of binding",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1540","GO:0060079","excitatory postsynaptic potential",0,"0% {0/114}","0.59% {6/1010}",0.559,1
"1541","GO:1904355","positive regulation of telomere capping",0,"0% {0/114}","0.4% {4/1010}",0.5,1
"1542","GO:0060440","trachea formation",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1543","GO:2000323","negative regulation of glucocorticoid receptor signaling pathway",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1544","GO:0090141","positive regulation of mitochondrial fission",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1545","GO:0048844","artery morphogenesis",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1546","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1547","GO:0045930","negative regulation of mitotic cell cycle",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1548","GO:0019233","sensory perception of pain",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1549","GO:0097296","activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1550","GO:0072584","caveolin-mediated endocytosis",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1551","GO:0051216","cartilage development",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1552","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1553","GO:0060325","face morphogenesis",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1554","GO:0030073","insulin secretion",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1555","GO:0060996","dendritic spine development",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1556","GO:0001963","synaptic transmission, dopaminergic",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1557","GO:0050770","regulation of axonogenesis",0,"0% {0/114}","0.4% {4/1010}",0.5,1
"1558","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1559","GO:0010906","regulation of glucose metabolic process",0,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1560","GO:0001302","replicative cell aging",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1561","GO:0010043","response to zinc ion",0,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1562","GO:0006939","smooth muscle contraction",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1563","GO:0002028","regulation of sodium ion transport",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1564","GO:0045861","negative regulation of proteolysis",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1565","GO:0032924","activin receptor signaling pathway",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1566","GO:0035115","embryonic forelimb morphogenesis",0,"0% {0/114}","0.3% {3/1010}",0.5,1
"1567","GO:0014032","neural crest cell development",0,"0% {0/114}","0.3% {3/1010}",0.5,1
